ID,DISEASE_NAME,Gene symbol,PS accession,PS name,Tissue,Manifestation,Pathogenicity,Ref
616271,"3-@methylglutaconic Aciduria With Cataracts, Neurologic Involvement,and Neutropenia",CLPB,PS250950,3-Methylglutaconic aciduria,Bone marrow,2,2,1
614739,"3-@methylglutaconic Aciduria With Deafness, Encephalopathy, And Leigh-likesyndrome",SERAC1,PS250950,3-Methylglutaconic aciduria,Bone marrow,1,1,2
610198,"3-@methylglutaconic Aciduria, Type V",DNAJC19,PS250950,3-Methylglutaconic aciduria,Bone marrow,2,1,3
246450,3-hydroxy-3-methylglutaryl-coa Lyase Deficiency,HMGCL,,,Bone marrow,1,1,4
617248,"3-methylglutaconic Aciduria, Type Viii",HTRA2,PS250950,3-Methylglutaconic aciduria,Bone marrow,2,2,5
172150,6-@phosphogluconolactonase Deficiency,,,,Bone marrow,0,0,6
100050,Aarskog Syndrome,,,,Bone marrow,0,0,7
618620,Abdominal Obesity-metabolic Syndrome 4,CELA2A,PS605552,Abdominal obesity-metabolic syndrome,Bone marrow,0,0,8
200100,Abetalipoproteinemia,MTTP,,,Bone marrow,0,0,9
604290,"Aceruloplasminemiahypoceruloplasminemia, Included",CP,,,Bone marrow,0,0,10
200300,Acetophenetidin Sensitivity,,,,Bone marrow,0,0,11
200900,"Achondroplasia, So-called, And Severe Combined Immunodeficiency",,,,Bone marrow,0,0,12
200950,Acid Phosphatase Deficiency,ACP2,,,Bone marrow,0,0,13
219080,Acth-independent Macronodular Adrenal Hyperplasia,GNAS,,,Bone marrow,0,0,14
612376,Acute Promyelocytic Leukemia,NUMA1,,,Bone marrow,0,0,15
612376,Acute Promyelocytic Leukemia,RARA,,,Bone marrow,0,0,16
611126,"Acyl-coa Dehydrogenase Family, Member 9, Deficiency Of",ACAD9,PS252010,"Mitochondrial complex I deficiency, nuclear type",Bone marrow,1,1,17
616028,Adams-oliver Syndrome 5,NOTCH1,PS100300,Adams-Oliver syndrome,Bone marrow,0,0,18
600458,Adenomyosis,,,,Bone marrow,0,0,19
102730,"Adenosine Deaminase, Elevated, Hemolytic Anemia Due To",,,,Bone marrow,0,0,20
102800,"Adenosine Triphosphatase Deficiency, Anemia Due To",,,,Bone marrow,0,0,21
102900,"Adenosine Triphosphate, Elevated, Of Erythrocytes",PKLR,,,Bone marrow,0,0,22
612631,"Adenylate Kinase Deficiency, Hemolytic Anemia Due To",AK1,,,Bone marrow,0,0,23
202400,"Afibrinogenemia, Congenitalhypofibrinogenemia, Congenital, Included",FGB,,,Bone marrow,0,0,24
202400,"Afibrinogenemia, Congenitalhypofibrinogenemia, Congenital, Included",FGA,,,Bone marrow,0,0,25
202400,"Afibrinogenemia, Congenitalhypofibrinogenemia, Congenital, Included",FGG,,,Bone marrow,0,0,26
601495,"Agammaglobulinemia 1, Autosomal Recessive",IGHM,PS601495,Agammaglobulinemia,Bone marrow,0,0,27
613501,"Agammaglobulinemia 3, Autosomal Recessive",CD79A,PS601495,Agammaglobulinemia,Bone marrow,2,2,28
613502,"Agammaglobulinemia 4, Autosomal Recessive",BLNK,PS601495,Agammaglobulinemia,Bone marrow,2,2,29
615214,"Agammaglobulinemia 7, Autosomal Recessive",PIK3R1,PS601495,Agammaglobulinemia,Bone marrow,2,2,30
616941,"Agammaglobulinemia 8, Autosomal Dominant",TCF3,PS601495,Agammaglobulinemia,Bone marrow,2,2,31
225750,Aicardi-goutieres Syndrome 1,TREX1,PS225750,Aicardi-Goutieres syndrome,Bone marrow,2,1,32
610181,Aicardi-goutieres Syndrome 2,RNASEH2B,PS225750,Aicardi-Goutieres syndrome,Bone marrow,2,1,33
610329,Aicardi-goutieres Syndrome 3,RNASEH2C,PS225750,Aicardi-Goutieres syndrome,Bone marrow,2,1,34
610333,Aicardi-goutieres Syndrome 4,RNASEH2A,PS225750,Aicardi-Goutieres syndrome,Bone marrow,2,1,35
612952,Aicardi-goutieres Syndrome 5,SAMHD1,PS225750,Aicardi-Goutieres syndrome,Bone marrow,2,1,36
