Index	Disease_ID	Disease_name	Gene_symbol	Phenotypic_series_ID	Phenotypic_series_name	Tissue	Tissue_number	Clinical_manifestation	Pathogenesis
1	145000	"Hyperparathyroidism, familial primary"	CDC73	PS145000	Hyperparathyroidism	Thyroid	Thyroid (N=22)	Yes	NA
2	617343	Hyperparathyroidism 4	GCM2	PS145000	Hyperparathyroidism	Thyroid	Thyroid (N=22)	Yes	NA
3	275100	"Hypothyroidism, congenital, nongoitrous 4"	TSHB	PS275200	"Hypothyroidism, congenital, nongoitrous"	Thyroid	Thyroid (N=22)	Yes	NA
4	239200	"Hyperparathyroidism, neonatal"	CASR	PS145000	Hyperparathyroidism	Thyroid	Thyroid (N=22)	Yes	NA
5	145001	Parathyroid adenoma with cystic changes	CDC73	PS145000	Hyperparathyroidism	Thyroid	Thyroid (N=22)	Yes	NA
6	145001	Hyperparathyroidism-jaw tumor syndrome	CDC73	PS145000	Hyperparathyroidism	Thyroid	Thyroid (N=22)	Yes	NA
7	614450	"Hypothyroidism, congenital, nongoitrous, 6"	THRA	PS275200	"Hypothyroidism, congenital, nongoitrous"	Thyroid	Thyroid (N=22)	Yes	NA
8	188470	"Thyroid carcinoma, follicular, somatic"	NRAS	PS188550	"Thyroid cancer, nonmedullary"	Thyroid	Thyroid (N=22)	Yes	NA
9	188470	"{Thyroid carcinoma, follicular}"	MINPP1	PS188550	"Thyroid cancer, nonmedullary"	Thyroid	Thyroid (N=22)	Yes	NA
10	188470	"Thyroid carcinoma, follicular, somatic"	HRAS	PS188550	"Thyroid cancer, nonmedullary"	Thyroid	Thyroid (N=22)	Yes	NA
11	188470	"{Thyroid cancer, nonmedullary, 2}"	SRGAP1	PS188550	"Thyroid cancer, nonmedullary"	Thyroid	Thyroid (N=22)	Yes	NA
12	155240	Medullary thyroid carcinoma	RET			Thyroid	Thyroid (N=22)	Yes	NA
13	138800	"Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors"	DICER1	PS138800	"Goiter, multinodular"	Thyroid	Thyroid (N=22)	Yes	NA
14	108900	"Atrial septal defect 7, with or without AV conduction defects"	NKX2-5	PS108800	Atrial septal defect	Thyroid	Thyroid (N=22)	Yes	NA
15	616858	?Cowden syndrome 7	SEC23B	PS158350	Cowden disease	Thyroid	Thyroid (N=22)	Yes	NA
16	218700	"Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia"	PAX8	PS275200	"Hypothyroidism, congenital, nongoitrous"	Thyroid	Thyroid (N=22)	Yes	NA
17	613224	Noonan syndrome 6	NRAS	PS163950	Noonan syndrome	Thyroid	Thyroid (N=22)	Yes	NA
18	615109	Cowden syndrome 6	AKT1	PS158350	Cowden disease	Thyroid	Thyroid (N=22)	Yes	NA
19	615108	Cowden syndrome 5	PIK3CA	PS158350	Cowden disease	Thyroid	Thyroid (N=22)	Yes	NA
20	615107	Cowden syndrome 4	KLLN	PS158350	Cowden disease	Thyroid	Thyroid (N=22)	Yes	NA
21	158350	Cowden syndrome 1	PTEN	PS158350	Cowden disease	Thyroid	Thyroid (N=22)	Yes	NA
22	158350	Lhermitte-Duclos syndrome	PTEN	PS158350	Cowden disease	Thyroid	Thyroid (N=22)	Yes	NA
23	224100	"Dyserythropoietic anemia, congenital, type II"	SEC23B	PS224120	"Anemia, congenital dyserythropoietic"	Thyroid	Thyroid (N=22)	Yes	NA
24	614432	Ventricular septal defect 3	NKX2-5	PS614429	Ventricular septal defect	Thyroid	Thyroid (N=22)	Yes	NA
25	225250	"Hypothyroidism, congenital nongoitrous, 5"	NKX2-5	PS275200	"Hypothyroidism, congenital, nongoitrous"	Thyroid	Thyroid (N=22)	Yes	NA
26	614435	Hypoplastic left heart syndrome 2	NKX2-5	PS241550	Hypoplastic left heart syndrome	Thyroid	Thyroid (N=22)	Yes	NA
27	275200	"Hypothyroidism, congenital, nongoitrous, 1"	TSHR	PS275200	"Hypothyroidism, congenital, nongoitrous"	Thyroid	Thyroid (N=22)	Yes	NA
28	605231	Bardet-Biedl syndrome 6	MKKS	PS209900	Bardet-Biedl syndrome	Cervix	Cervix (N=2)	Yes	NA
29	236700	McKusick-Kaufman syndrome	MKKS			Cervix	Cervix (N=2)	Yes	NA
30	606766	Spermatogenic failure 3	SLC26A8	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
31	606763	"Ciliary dyskinesia, primary, 2"	DNAAF3	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
32	604250	"Hemochromatosis, type 3"	TFR2	PS235200	Hemochromatosis	Testis	Testis (N=136)	Yes	NA
33	613707	LEOPARD syndrome 3	BRAF	PS151100	LEOPARD syndrome	Testis	Testis (N=136)	Yes	NA
34	613706	Noonan syndrome 7	BRAF	PS163950	Noonan syndrome	Testis	Testis (N=136)	Yes	NA
35	608644	"Ciliary dyskinesia, primary, 3, with or without situs inversus"	DNAH5	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
36	617592	Spermatogenic failure 19	CFAP43	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
37	613762	46XY sex reversal 6	MAP3K1	PS400044	"46,XY sex reversal"	Testis	Testis (N=136)	Yes	NA
38	613800	Meier-Gorlin syndrome 2	ORC4	PS224690	Meier-Gorlin syndrome	Testis	Testis (N=136)	Yes	NA
39	145410	"Opitz GBBB syndrome, type II"	SPECC1L	PS300000	Opitz GBBB syndrome	Testis	Testis (N=136)	Yes	NA
40	613193	"Ciliary dyskinesia, primary, 13"	DNAAF1	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
41	614017	"Ciliary dyskinesia, primary, 16"	DNAL1	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
42	115150	Cardiofaciocutaneous syndrome	BRAF	PS115150	Cardiofaciocutaneous syndrome	Testis	Testis (N=136)	Yes	NA
43	309120	"Spermatogenic failure, X-linked, 2"	TEX11	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
44	248800	Marinesco-Sjogren syndrome	SIL1			Testis	Testis (N=136)	Yes	NA
45	146110	Hypogonadotropic hypogonadism 7 without anosmia	GNRHR	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
46	127700	"{Dyslexia, susceptibility to, 1}"	DNAAF4			Testis	Testis (N=136)	Yes	NA
47	614935	"Ciliary dyskinesia, primary, 19"	DNAAF11	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
48	617187	Spermatogenic failure 16	SUN5	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
49	614976	Carpenter syndrome 2	MEGF8	PS201000	Carpenter syndrome	Testis	Testis (N=136)	Yes	NA
50	613224	Noonan syndrome 6	NRAS	PS163950	Noonan syndrome	Testis	Testis (N=136)	Yes	NA
51	613808	"Ciliary dyskinesia, primary, 15"	CCDC40	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
52	244400	"Ciliary dyskinesia, primary, 1, with or without situs inversus"	DNAI1	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
53	612518	"Ciliary dyskinesia, primary, 10"	DNAAF2	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
54	616894	"Robinow syndrome, autosomal dominant 3"	DVL3	PS268310	Robinow syndrome	Testis	Testis (N=136)	Yes	NA
55	612702	Hypogonadotropic hypogonadism 6 with or without anosmia	FGF8	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
56	300985	"Congenital bilateral absence of vas deferens, X-linked"	ADGRG2	PS277180	"Vas deferens, congenital bilateral aplasia of"	Testis	Testis (N=136)	Yes	NA
57	608647	"Ciliary dyskinesia, primary, 5"	HYDIN	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
58	256520	Neu-Laxova syndrome 1	PHGDH	PS256520	Neu-Laxova syndrome	Testis	Testis (N=136)	Yes	NA
59	277180	Congenital bilateral absence of vas deferens	CFTR	PS277180	"Vas deferens, congenital bilateral aplasia of"	Testis	Testis (N=136)	Yes	NA
60	615482	"Ciliary dyskinesia, primary, 25"	DNAAF4	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
61	616067	46XY sex reversal 9	ZFPM2	PS400044	"46,XY sex reversal"	Testis	Testis (N=136)	Yes	NA
62	615481	"Ciliary dyskinesia, primary, 24"	RSPH1	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
63	614679	"Ciliary dyskinesia, primary, 17"	CCDC103	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
64	300018	"46XY sex reversal 2, dosage-sensitive"	NR0B1	PS400044	"46,XY sex reversal"	Testis	Testis (N=136)	Yes	NA
65	611884	"Ciliary dyskinesia, primary, 7, with or without situs inversus"	DNAH11	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
66	124000	"Mitochondrial complex III deficiency, nuclear type 1"	BCS1L	PS124000	"Mitochondrial complex III deficiency, nuclear type"	Testis	Testis (N=136)	Yes	NA
67	615916	"Cardiomyopathy, dilated, 1NN"	RAF1	PS115200	Dilated cardiomyopathy	Testis	Testis (N=136)	Yes	NA
68	188470	"Thyroid carcinoma, follicular, somatic"	NRAS	PS188550	"Thyroid cancer, nonmedullary"	Testis	Testis (N=136)	Yes	NA
69	188470	"{Thyroid carcinoma, follicular}"	MINPP1	PS188550	"Thyroid cancer, nonmedullary"	Testis	Testis (N=136)	Yes	NA
70	188470	"Thyroid carcinoma, follicular, somatic"	HRAS	PS188550	"Thyroid cancer, nonmedullary"	Testis	Testis (N=136)	Yes	NA
71	188470	"{Thyroid cancer, nonmedullary, 2}"	SRGAP1	PS188550	"Thyroid cancer, nonmedullary"	Testis	Testis (N=136)	Yes	NA
72	609942	Noonan syndrome 3	KRAS	PS163950	Noonan syndrome	Testis	Testis (N=136)	Yes	NA
73	262000	Bjornstad syndrome	BCS1L			Testis	Testis (N=136)	Yes	NA
74	610628	Hypogonadotropic hypogonadism 4 with or without anosmia	PROK2	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
75	400044	46XY sex reversal 1	SRY	PS400044	"46,XY sex reversal"	Testis	Testis (N=136)	Yes	NA
76	300991	"Ciliary dyskinesia, primary, 36, X-linked"	DNAAF6	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
77	612650	"Ciliary dyskinesia, primary, 12"	RSPH9	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
78	147950	Hypogonadotropic hypogonadism 2 with or without anosmia	FGFR1	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
79	614838	Hypogonadotropic hypogonadism 9 with or without anosmia	NSMF	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
80	614839	Hypogonadotropic hypogonadism 10 with or without anosmia	TAC3	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
81	615413	Spermatogenic failure 12	NANOS1	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
82	236700	McKusick-Kaufman syndrome	MKKS			Testis	Testis (N=136)	Yes	NA
83	614837	Hypogonadotropic hypogonadism 8 with or without anosmia	KISS1R	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
84	603358	GRACILE syndrome	BCS1L			Testis	Testis (N=136)	Yes	NA
85	300000	"Opitz GBBB syndrome, type I"	MID1	PS300000	Opitz GBBB syndrome	Testis	Testis (N=136)	Yes	NA
86	615294	"Ciliary dyskinesia, primary, 21"	DRC1	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
87	616726	"Ciliary dyskinesia, primary, 33"	GAS8	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
88	614858	Hypogonadotropic hypogonadism 14 with or without anosmia	WDR11	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
89	612965	46XY sex reversal 3	NR5A1	PS400044	"46,XY sex reversal"	Testis	Testis (N=136)	Yes	NA
90	616331	"Robinow syndrome, autosomal dominant 2"	DVL1	PS268310	Robinow syndrome	Testis	Testis (N=136)	Yes	NA
91	616038	Neu-Laxova syndrome 2	PSAT1	PS256520	Neu-Laxova syndrome	Testis	Testis (N=136)	Yes	NA
92	616030	"Hypogonadotropic hypogonadism 22, with or without anosmia"	FEZF1	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
93	182170	"Anemia, sideroblastic, 4"	HSPA9	PS300751	"Anemia, Sideroblastic"	Testis	Testis (N=136)	Yes	NA
94	616037	"Ciliary dyskinesia, primary, 30"	ODAD3	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
95	180700	"Robinow syndrome, autosomal dominant 1"	WNT5A	PS268310	Robinow syndrome	Testis	Testis (N=136)	Yes	NA
96	615355	Noonan syndrome 8	RIT1	PS163950	Noonan syndrome	Testis	Testis (N=136)	Yes	NA
97	114290	Acampomelic campomelic dysplasia	SOX9			Testis	Testis (N=136)	Yes	NA
98	114290	Campomelic dysplasia	SOX9			Testis	Testis (N=136)	Yes	NA
99	114290	Campomelic dysplasia with autosomal sex reversal	SOX9			Testis	Testis (N=136)	Yes	NA
100	612649	"Ciliary dyskinesia, primary, 11"	RSPH4A	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
101	234050	"Trichothiodystrophy 4, nonphotosensitive"	MPLKIP	PS601675	Trichothiodystrophy	Testis	Testis (N=136)	Yes	NA
102	268310	"Robinow syndrome, autosomal recessive"	ROR2	PS268310	Robinow syndrome	Testis	Testis (N=136)	Yes	NA
103	614822	Spermatogenic failure 10	SEPTIN12	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
104	235200	Hemochromatosis	HFE	PS235200	Hemochromatosis	Testis	Testis (N=136)	Yes	NA
105	235200	"{HFE hemochromatosis, modifier of}"	BMP2	PS235200	Hemochromatosis	Testis	Testis (N=136)	Yes	NA
106	211400	"{Bronchiectasis with or without elevated sweat chloride 1, modifier of}"	CFTR	PS211400	Bronchiectasis	Testis	Testis (N=136)	Yes	NA
107	211400	Bronchiectasis with or without elevated sweat chloride 1	SCNN1B	PS211400	Bronchiectasis	Testis	Testis (N=136)	Yes	NA
108	224690	Meier-Gorlin syndrome 1	ORC1	PS224690	Meier-Gorlin syndrome	Testis	Testis (N=136)	Yes	NA
109	233420	46XY sex reversal 7	DHH	PS400044	"46,XY sex reversal"	Testis	Testis (N=136)	Yes	NA
110	615081	Spermatogenic failure 11	KLHL10	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
