Process name,Associated cell type,Associated cell type,Associated cell types,Associated cell types
marginal zone b cell differentiation, b cell,,,
positive regulation of b cell proliferation, b cell,,,
negative regulation of b cell receptor signaling pathway, b cell,,,
regulation of b cell activation, b cell,,,
regulation of b cell differentiation, b cell,,,
negative regulation of b cell proliferation, b cell,,,
b-1 b cell lineage commitment, b cell,,,
mature b cell differentiation involved in immune response, b cell,,,
follicular b cell differentiation, b cell,,,
regulation of b cell antigen processing and presentation, b cell,,,
negative regulation of b cell activation, b cell,,,
positive regulation of b cell chemotaxis, b cell,,,
positive regulation of b cell activation, b cell,,,
positive regulation of b cell apoptotic process, b cell,,,
immature b cell differentiation, b cell,,,
regulation of b cell receptor signaling pathway, b cell,,,
regulation of b cell apoptotic process, b cell,,,
positive regulation of b cell receptor signaling pathway, b cell,,,
positive regulation of b cell differentiation, b cell,,,
germinal center b cell differentiation, b cell,,,
negative regulation of b cell apoptotic process, b cell,,,
b-1 b cell homeostasis, b cell,,,
b-1 b cell differentiation, b cell,,,
regulation of b cell proliferation, b cell,,,
positive regulation of central b cell tolerance induction, b cell,,,
mature b cell differentiation, b cell,,,
negative regulation of b cell differentiation, b cell,,,
negative regulation of mature b cell apoptotic process, b cell,,,
b-1a b cell differentiation, b cell,,,
positive regulation of b cell tolerance induction, b cell,,,
peripheral b cell tolerance induction, b cell,,,
primary adaptive immune response involving t cells and b cells, b cell, t cell,,
transitional one stage b cell differentiation, b cell,,,
regulation of b cell cytokine production, b cell,,,
positive regulation of renal sodium excretion, renal,,,
negative regulation of renal sodium excretion, renal,,,
regulation of renal sodium excretion, renal,,,
regulation of renal output by angiotensin, renal,,,
epithelial cell proliferation involved in renal tubule morphogenesis, renal,epithelial,,
negative regulation of renal albumin absorption, renal,,,
bmp signaling pathway involved in renal system segmentation, renal,,,
mesenchymal cell differentiation involved in renal system development, renal,mesenchymal,,
regulation of blood volume by renal aldosterone, renal,,,
positive regulation of renal water transport, renal,,,
metanephric renal vesicle morphogenesis, renal,metanephric ,,
positive regulation of renal albumin absorption, renal,,,
mesenchymal to epithelial transition involved in metanephric renal vesicle formation, renal,epithelial,mesenchymal,metanephric 
negative regulation of renal phosphate excretion, renal,,,
negative regulation of t cell receptor signaling pathway, t cell,,,
negative regulation of cd4-positive_ alpha-beta t cell costimulation, t cell,,,
regulation of t cell migration, t cell,,,
negative regulation of t cell activation, t cell,,,
positive regulation of t cell chemotaxis, t cell,,,
nk t cell differentiation, t cell,,,
positive regulation of cd4-positive_ alpha-beta t cell differentiation, t cell,,,
negative regulation of cd8-positive_ alpha-beta t cell differentiation, t cell,,,
negative regulation of nk t cell proliferation, t cell,,,
regulation of cd4-positive_ alpha-beta t cell differentiation, t cell,,,
regulation of cd8-positive_ alpha-beta t cell differentiation, t cell,,,
positive regulation of t cell proliferation, t cell,,,
positive regulation of t cell mediated cytotoxicity, t cell,,,
memory t cell extravasation, t cell,,,
negative regulation of cytotoxic t cell degranulation, t cell,,,
negative regulation of t cell cytokine production, t cell,,,
positive regulation of t cell cytokine production, t cell,,,
positive regulation of cd4-positive_ alpha-beta t cell proliferation, t cell,,,
negative regulation of cd4-positive_ alpha-beta t cell proliferation, t cell,,,
positive regulation of cd8-positive_ alpha-beta t cell proliferation, t cell,,,
regulation of t cell proliferation, t cell,,,
negative regulation of regulatory t cell differentiation, t cell,,,
memory t cell activation, t cell,,,
positive regulation of memory t cell differentiation, t cell,,,
positive regulation of alpha-beta t cell proliferation, t cell,,,
positive regulation of cd4-positive_ alpha-beta t cell costimulation, t cell,,,
regulation of t cell activation, t cell,,,
negative regulation of activated t cell proliferation, t cell,,,
regulation of t cell receptor signaling pathway, t cell,,,
positive regulation of t cell mediated cytotoxicity directed against tumor cell target, t cell,,,
negative regulation of t cell mediated cytotoxicity, t cell,,,
positive regulation of t cell mediated immunity, t cell,,,
positive thymic t cell selection, t cell,,,
negative thymic t cell selection, t cell,,,
positive regulation of t cell differentiation, t cell,,,
positive regulation of gamma-delta t cell differentiation, t cell,,,
gamma-delta t cell differentiation, t cell,,,
regulation of gamma-delta t cell differentiation, t cell,,,
positive regulation of t cell receptor signaling pathway, t cell,,,
negative regulation of t cell proliferation, t cell,,,
cd4-positive_ alpha-beta t cell cytokine production, t cell,,,
positive regulation of cd4-positive_ alpha-beta t cell activation, t cell,,,
regulation of regulatory t cell differentiation, t cell,,,
positive regulation of regulatory t cell differentiation, t cell,,,
thymic t cell selection, t cell,,,
positive regulation of alpha-beta t cell differentiation, t cell,,,
regulation of t cell tolerance induction, t cell,,,
activation-induced cell death of t cells, t cell,,,
positive regulation of activated t cell proliferation, t cell,,,
regulation of t cell homeostatic proliferation, t cell,,,
positive regulation of t cell activation, t cell,,,
negative regulation of t cell apoptotic process, t cell,,,
t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell, t cell,antigen presenting ,,
regulation of t cell differentiation in thymus, t cell,,,
positive regulation of t cell migration, t cell,,,
maintenance of granzyme b location in t cell secretory granule, t cell,,,
negative regulation of cd8-positive_ alpha-beta t cell proliferation, t cell,,,
cd4-positive_ alpha-beta t cell differentiation, t cell,,,
negative regulation of activation-induced cell death of t cells, t cell,,,
positive regulation of t cell differentiation in thymus, t cell,,,
alpha-beta t cell activation, t cell,,,
positive regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell, t cell,antigen presenting ,,
cd4-positive_ alpha-beta t cell costimulation, t cell,,,
regulation of t cell differentiation, t cell,,,
regulation of cd8-positive_ alpha-beta t cell proliferation, t cell,,,
positive regulation of cytotoxic t cell differentiation, t cell,,,
positive regulation of cd8-positive_ alpha-beta cytotoxic t cell extravasation, t cell,,,
positive regulation of nk t cell proliferation, t cell,,,
positive regulation of nk t cell differentiation, t cell,,,
gamma-delta t cell activation, t cell,,,
positive regulation of t cell anergy, t cell,,,
establishment of t cell polarity, t cell,,,
regulation of cd8-positive_ alpha-beta t cell activation, t cell,,,
helper t cell enhancement of adaptive immune response, t cell,,,
cd8-positive_ alpha-beta t cell activation, t cell,,,
positive regulation of cd8-positive_ alpha-beta t cell differentiation, t cell,,,
positive regulation of nk t cell activation, t cell,,,
