"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPAM",0,5.68399955355408,0.997,0.606,0,"Adipocytes","GPAM"
"ACACB",0,4.98067415540687,0.994,0.573,0,"Adipocytes","ACACB"
"PDE3B",0,4.57169964908405,0.994,0.578,0,"Adipocytes","PDE3B"
"SORBS1",0,4.45981145408948,0.995,0.711,0,"Adipocytes","SORBS1"
"ASPH",0,4.24275137527099,0.995,0.445,0,"Adipocytes","ASPH"
"AL136119.1",0,3.75842453493413,0.96,0.62,0,"Adipocytes","AL136119.1"
"MGST1",0,3.74308370597458,0.988,0.429,0,"Adipocytes","MGST1"
"GHR",0,3.61133630011573,0.994,0.72,0,"Adipocytes","GHR"
"TNS1",0,3.52919581717743,0.992,0.603,0,"Adipocytes","TNS1"
"PRKAR2B",0,3.4756836070373,0.965,0.461,0,"Adipocytes","PRKAR2B"
"GYG2",0,3.46343177158544,0.975,0.464,0,"Adipocytes","GYG2"
"PPARG",0,3.44950133846089,0.992,0.557,0,"Adipocytes","PPARG"
"DIRC3",0,3.43599487931828,0.98,0.471,0,"Adipocytes","DIRC3"
"SIK2",0,3.42956160839,0.985,0.56,0,"Adipocytes","SIK2"
"TRHDE-AS1",0,3.34910886766331,0.96,0.499,0,"Adipocytes","TRHDE-AS1"
"AQP7",0,3.32807742162211,0.977,0.586,0,"Adipocytes","AQP7"
"LRP1B",0,3.30589343707861,0.935,0.447,0,"Adipocytes","LRP1B"
"CCDC3",0,3.21400016912415,0.947,0.541,0,"Adipocytes","CCDC3"
"EBF1",0,3.20928887792101,0.997,0.737,0,"Adipocytes","EBF1"
"ADIPOQ",0,3.1036779910724,0.958,0.621,0,"Adipocytes","ADIPOQ"
"SOX5",0,3.02324469986308,0.997,0.662,0,"Adipocytes","SOX5"
"CLSTN2",0,3.01048573911544,0.849,0.499,0,"Adipocytes","CLSTN2"
"LPL",0,2.93096506280702,0.905,0.525,0,"Adipocytes","LPL"
"LINC00598",0,2.88667824120656,0.923,0.477,0,"Adipocytes","LINC00598"
"LINC02607",0,2.87855361077514,0.942,0.564,0,"Adipocytes","LINC02607"
"SLC19A3",0,2.86253274477312,0.948,0.49,0,"Adipocytes","SLC19A3"
"TENM3",0,2.84814231188192,0.974,0.639,0,"Adipocytes","TENM3"
"PLIN1",0,2.79954313660704,0.945,0.553,0,"Adipocytes","PLIN1"
"LIMCH1",0,2.7128332008201,0.977,0.522,0,"Adipocytes","LIMCH1"
"COL4A2",0,2.71066369581891,0.982,0.636,0,"Adipocytes","COL4A2"
"COL4A1",0,2.69735598805793,0.976,0.626,0,"Adipocytes","COL4A1"
"CD36",0,2.67308111735346,0.986,0.564,0,"Adipocytes","CD36"
"TLN2",0,2.66817587947537,0.983,0.642,0,"Adipocytes","TLN2"
"DMD",0,2.63293376443312,0.972,0.666,0,"Adipocytes","DMD"
"AC002066.1",0,2.51607791465608,0.938,0.603,0,"Adipocytes","AC002066.1"
"WDPCP",0,2.46861387194514,0.979,0.656,0,"Adipocytes","WDPCP"
"RHOBTB3",0,2.46442708792912,0.965,0.488,0,"Adipocytes","RHOBTB3"
"PTGER3",0,2.45458489033122,0.959,0.671,0,"Adipocytes","PTGER3"
"LINC02237",0,2.39705717608236,0.941,0.633,0,"Adipocytes","LINC02237"
"TMEM132C",0,2.38669488669235,0.948,0.741,0,"Adipocytes","TMEM132C"
"PFKFB1",0,2.38004039046862,0.911,0.584,0,"Adipocytes","PFKFB1"
"GBE1",0,2.36256914080606,0.967,0.506,0,"Adipocytes","GBE1"
"KCNIP2-AS1",0,2.34956559635942,0.849,0.383,0,"Adipocytes","KCNIP2-AS1"
"LIPE-AS1",0,2.34457836732798,0.929,0.369,0,"Adipocytes","LIPE-AS1"
"PLIN4",0,2.34144329870456,0.862,0.51,0,"Adipocytes","PLIN4"
"ACVR1C",0,2.33447661612536,0.916,0.548,0,"Adipocytes","ACVR1C"
"ITGA7",0,2.32947118378042,0.911,0.508,0,"Adipocytes","ITGA7"
"PLIN5",0,2.31186191749103,0.918,0.551,0,"Adipocytes","PLIN5"
"PLAAT3",0,2.30085876557185,0.932,0.531,0,"Adipocytes","PLAAT3"
"SLC16A7",0,2.28100491898529,0.946,0.39,0,"Adipocytes","SLC16A7"
"ELMOD3",0,2.27251708803984,0.913,0.335,0,"Adipocytes","ELMOD3"
"C2CD2",0,2.25592240926463,0.944,0.358,0,"Adipocytes","C2CD2"
"AL139383.1",0,2.25275120262385,0.944,0.574,0,"Adipocytes","AL139383.1"
"PCDH9",0,2.24504387622437,0.964,0.671,0,"Adipocytes","PCDH9"
"HOOK2",0,2.23956338543781,0.927,0.372,0,"Adipocytes","HOOK2"
"PALMD",0,2.23382919516056,0.953,0.57,0,"Adipocytes","PALMD"
"ANO6",0,2.22461165032354,0.978,0.572,0,"Adipocytes","ANO6"
"PPP2R1B",0,2.22211272774605,0.908,0.541,0,"Adipocytes","PPP2R1B"
"VKORC1L1",0,2.21186291704794,0.949,0.393,0,"Adipocytes","VKORC1L1"
"GPC6",0,2.20921444426845,0.932,0.527,0,"Adipocytes","GPC6"
"MAOA",0,2.19464441848391,0.873,0.614,0,"Adipocytes","MAOA"
"LINC02240",0,2.18538642918619,0.901,0.561,0,"Adipocytes","LINC02240"
"LIPE",0,2.17827442939108,0.89,0.403,0,"Adipocytes","LIPE"
"ADH1B",0,2.17147186159608,0.968,0.682,0,"Adipocytes","ADH1B"
"DAPK2",0,2.17114298820763,0.934,0.554,0,"Adipocytes","DAPK2"
"AC007529.2",0,2.17070605869931,0.874,0.459,0,"Adipocytes","AC007529.2"
"PNPLA2",0,2.16705357257413,0.886,0.402,0,"Adipocytes","PNPLA2"
"PFKFB3",0,2.15538262123128,0.964,0.594,0,"Adipocytes","PFKFB3"
"AC004160.1",0,2.14272810137697,0.958,0.63,0,"Adipocytes","AC004160.1"
