 b cell,marginal zone b cell differentiation,positive regulation of b cell proliferation,negative regulation of b cell receptor signaling pathway,regulation of b cell activation,regulation of b cell differentiation,negative regulation of b cell proliferation,b-1 b cell lineage commitment,mature b cell differentiation involved in immune response,follicular b cell differentiation,regulation of b cell antigen processing and presentation,negative regulation of b cell activation,positive regulation of b cell chemotaxis,positive regulation of b cell activation,positive regulation of b cell apoptotic process,immature b cell differentiation,regulation of b cell receptor signaling pathway,regulation of b cell apoptotic process,positive regulation of b cell receptor signaling pathway,positive regulation of b cell differentiation,germinal center b cell differentiation,negative regulation of b cell apoptotic process,b-1 b cell homeostasis,b-1 b cell differentiation,regulation of b cell proliferation,positive regulation of central b cell tolerance induction,mature b cell differentiation,negative regulation of b cell differentiation,negative regulation of mature b cell apoptotic process,b-1a b cell differentiation,positive regulation of b cell tolerance induction,peripheral b cell tolerance induction,primary adaptive immune response involving t cells and b cells,transitional one stage b cell differentiation,regulation of b cell cytokine production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 renal,positive regulation of renal sodium excretion,negative regulation of renal sodium excretion,regulation of renal sodium excretion,regulation of renal output by angiotensin,epithelial cell proliferation involved in renal tubule morphogenesis,negative regulation of renal albumin absorption,bmp signaling pathway involved in renal system segmentation,mesenchymal cell differentiation involved in renal system development,regulation of blood volume by renal aldosterone,positive regulation of renal water transport,metanephric renal vesicle morphogenesis,positive regulation of renal albumin absorption,mesenchymal to epithelial transition involved in metanephric renal vesicle formation,negative regulation of renal phosphate excretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 t cell,negative regulation of t cell receptor signaling pathway,negative regulation of cd4-positive_ alpha-beta t cell costimulation,regulation of t cell migration,negative regulation of t cell activation,positive regulation of t cell chemotaxis,nk t cell differentiation,positive regulation of cd4-positive_ alpha-beta t cell differentiation,negative regulation of cd8-positive_ alpha-beta t cell differentiation,negative regulation of nk t cell proliferation,regulation of cd4-positive_ alpha-beta t cell differentiation,regulation of cd8-positive_ alpha-beta t cell differentiation,positive regulation of t cell proliferation,positive regulation of t cell mediated cytotoxicity,memory t cell extravasation,negative regulation of cytotoxic t cell degranulation,negative regulation of t cell cytokine production,positive regulation of t cell cytokine production,positive regulation of cd4-positive_ alpha-beta t cell proliferation,negative regulation of cd4-positive_ alpha-beta t cell proliferation,positive regulation of cd8-positive_ alpha-beta t cell proliferation,regulation of t cell proliferation,negative regulation of regulatory t cell differentiation,memory t cell activation,positive regulation of memory t cell differentiation,positive regulation of alpha-beta t cell proliferation,positive regulation of cd4-positive_ alpha-beta t cell costimulation,regulation of t cell activation,negative regulation of activated t cell proliferation,regulation of t cell receptor signaling pathway,positive regulation of t cell mediated cytotoxicity directed against tumor cell target,negative regulation of t cell mediated cytotoxicity,positive regulation of t cell mediated immunity,positive thymic t cell selection,negative thymic t cell selection,positive regulation of t cell differentiation,positive regulation of gamma-delta t cell differentiation,gamma-delta t cell differentiation,regulation of gamma-delta t cell differentiation,positive regulation of t cell receptor signaling pathway,negative regulation of t cell proliferation,cd4-positive_ alpha-beta t cell cytokine production,positive regulation of cd4-positive_ alpha-beta t cell activation,regulation of regulatory t cell differentiation,positive regulation of regulatory t cell differentiation,thymic t cell selection,positive regulation of alpha-beta t cell differentiation,regulation of t cell tolerance induction,activation-induced cell death of t cells,positive regulation of activated t cell proliferation,regulation of t cell homeostatic proliferation,positive regulation of t cell activation,negative regulation of t cell apoptotic process,t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell,regulation of t cell differentiation in thymus,positive regulation of t cell migration,maintenance of granzyme b location in t cell secretory granule,negative regulation of cd8-positive_ alpha-beta t cell proliferation,cd4-positive_ alpha-beta t cell differentiation,negative regulation of activation-induced cell death of t cells,positive regulation of t cell differentiation in thymus,alpha-beta t cell activation,positive regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell,cd4-positive_ alpha-beta t cell costimulation,regulation of t cell differentiation,regulation of cd8-positive_ alpha-beta t cell proliferation,positive regulation of cytotoxic t cell differentiation,positive regulation of cd8-positive_ alpha-beta cytotoxic t cell extravasation,positive regulation of nk t cell proliferation,positive regulation of nk t cell differentiation,gamma-delta t cell activation,positive regulation of t cell anergy,establishment of t cell polarity,regulation of cd8-positive_ alpha-beta t cell activation,helper t cell enhancement of adaptive immune response,cd8-positive_ alpha-beta t cell activation,positive regulation of cd8-positive_ alpha-beta t cell differentiation,positive regulation of nk t cell activation,positive regulation of cd4-positive_ cd25-positive_ alpha-beta regulatory t cell differentiation involved in immune response,negative regulation of t cell differentiation,regulation of t cell mediated immune response to tumor cell,negative regulation of cd4-positive_ alpha-beta t cell differentiation,negative regulation of t cell migration,cd8-positive_ alpha-beta intraepithelial t cell differentiation,cd8-positive_ gamma-delta intraepithelial t cell differentiation,cd8-positive_ alpha-beta t cell differentiation,regulation of activated t cell proliferation,regulation of t cell mediated cytotoxicity,regulation of activation-induced cell death of t cells,regulation of cd8-positive_ alpha-beta cytotoxic t cell extravasation,negative regulation of t cell differentiation in thymus,negative regulation of immature t cell proliferation in thymus,regulation of t cell apoptotic process,negative regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell,negative regulation of activated cd8-positive_ alpha-beta t cell apoptotic process,positive t cell selection,alpha-beta t cell differentiation,cytotoxic t cell degranulation,positive regulation of gamma-delta t cell activation,cd4-positive or cd8-positive_ alpha-beta t cell lineage commitment,helper t cell diapedesis,positive regulation of activated t cell autonomous cell death,regulation of positive thymic t cell selection,positive regulation of establishment of t cell polarity,helper t cell extravasation,positive regulation of t cell apoptotic process,positive regulation of t cell costimulation,negative regulation of nk t cell activation,negative regulation of cd4-positive_ alpha-beta t cell activation,negative regulation of positive thymic t cell selection,regulation of t cell anergy,cd8-positive_ alpha-beta t cell lineage commitment,negative regulation of t cell mediated immunity,negative regulation of t cell extravasation,negative regulation of memory t cell differentiation,regulation of t cell cytokine production,regulatory t cell differentiation,susceptibility to t cell mediated cytotoxicity,positive regulation of t cell tolerance induction,cd4-positive_ alpha-beta t cell activation,cytotoxic t cell differentiation,positive regulation of immature t cell proliferation in thymus,positive regulation of t cell mediated immune response to tumor cell,negative regulation of alpha-beta t cell differentiation,negative regulation of alpha-beta t cell proliferation,peripheral t cell tolerance induction,negative regulation of alpha-beta t cell activation,activated t cell proliferation,cd8-positive_ alpha-beta t cell differentiation involved in immune response,positive regulation of cd8-positive_ alpha-beta t cell extravasation,alpha-beta t cell lineage commitment,regulation of memory t cell differentiation,regulation of t cell chemotaxis,nk t cell proliferation,extrathymic t cell selection,alpha-beta t cell proliferation,negative regulation of establishment of t cell polarity,negative regulation of t cell antigen processing and presentation,negative regulation of cd8-positive_ alpha-beta t cell activation,positive regulation of memory t cell activation,positive regulation of cd8-positive_ alpha-beta t cell activation,regulation of cd4-positive_ alpha-beta t cell activation,primary adaptive immune response involving t cells and b cells,regulation of extrathymic t cell differentiation,regulation of nk t cell differentiation,negative t cell selection,negative regulation of immature t cell proliferation,cd4-positive_ cd25-positive_ alpha-beta regulatory t cell lineage commitment,nk t cell lineage commitment,cd4-positive_ alpha-beta t cell lineage commitment,positive regulation of immature t cell proliferation,memory t cell proliferation,positive regulation of activated cd8-positive_ alpha-beta t cell apoptotic process,regulation of establishment of t cell polarity,memory t cell differentiation,cd4-positive_ cd25-positive_ alpha-beta regulatory t cell differentiation,positive regulation of gamma-delta t cell activation involved in immune response,regulation of t cell antigen processing and presentation,positive regulation of peripheral t cell tolerance induction,positive regulation of cd4-positive_ cd25-positive_ alpha-beta regulatory t cell differentiation,positive regulation of t cell extravasation,immature t cell proliferation in thymus,,,,,,,,,,,,,,,,,,,,,,,,
acinar ,acinar cell differentiation,positive regulation of acinar cell proliferation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amacrine ,amacrine cell differentiation,positive regulation of amacrine cell differentiation,negative regulation of amacrine cell differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antigen presenting ,t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell,positive regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell,negative regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astrocyte,astrocyte development,negative regulation of astrocyte activation,negative regulation of astrocyte differentiation,regulation of astrocyte differentiation,astrocyte differentiation,astrocyte activation,positive regulation of astrocyte differentiation,forebrain astrocyte development,astrocyte-dopaminergic neuron signaling,astrocyte activation involved in immune response,regulation of astrocyte chemotaxis,astrocyte cell migration,astrocyte fate commitment,positive regulation of astrocyte activation,positive regulation of astrocyte chemotaxis,regulation of astrocyte activation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal,establishment or maintenance of epithelial cell apical/basal polarity,ciliary basal body-plasma membrane docking,basal dendrite development,basal dendrite arborization,squamous basal epithelial stem cell differentiation involved in prostate gland acinus development,maintenance of epithelial cell apical/basal polarity,ciliary basal body organization,respiratory basal cell differentiation,establishment of epithelial cell apical/basal polarity,basal dendrite morphogenesis,establishment of apical/basal cell polarity,gabaergic neuron differentiation in basal ganglia,establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis,basal protein localization,establishment or maintenance of apical/basal cell polarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basophil,basophil activation,basophil activation involved in immune response,basophil differentiation,basophil homeostasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bipolar ,retinal bipolar neuron differentiation,rod bipolar cell differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bone ,bone remodeling,regulation of bone mineralization,negative regulation of bone mineralization,endochondral bone growth,bone resorption,bone mineralization,ossification involved in bone maturation,bone trabecula formation,bone development,regulation of bone resorption,regulation of bone remodeling,bone morphogenesis,bone marrow development,bone regeneration,negative regulation of bone resorption,positive regulation of bone mineralization,fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow cell,fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow,positive regulation of bone resorption,positive regulation of cell proliferation in bone marrow,negative regulation of apoptotic process in bone marrow cell,negative regulation of bone mineralization involved in bone maturation,endochondral bone morphogenesis,positive regulation of bone mineralization involved in bone maturation,chondrocyte development involved in endochondral bone morphogenesis,hematopoietic stem cell migration to bone marrow,bone mineralization involved in bone maturation,cartilage development involved in endochondral bone morphogenesis,positive regulation of bone development,ossification involved in bone remodeling,intramembranous bone growth,chondrocyte differentiation involved in endochondral bone morphogenesis,negative regulation of bone remodeling,negative regulation of bone trabecula formation,bone growth,regulation of bone development,negative regulation of cell proliferation in bone marrow,cell proliferation in bone marrow,bone maturation,bone trabecula morphogenesis,apoptotic process in bone marrow cell,semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis,mesenchymal cell differentiation involved in bone development,positive regulation of apoptotic process in bone marrow cell,perichondral bone morphogenesis,negative regulation of bone development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bone marrow ,bone marrow development,fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow cell,negative regulation of apoptotic process in bone marrow cell,apoptotic process in bone marrow cell,positive regulation of apoptotic process in bone marrow cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown fat ,positive regulation of brown fat cell differentiation,brown fat cell differentiation,regulation of brown fat cell differentiation,negative regulation of brown fat cell differentiation,positive regulation of brown fat cell proliferation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardiac endothelial ,positive regulation of cardiac endothelial to mesenchymal transition,cardiac endothelial to mesenchymal transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
