id,Gene stable ID,HGNC symbol
0,ENSG00000198888,MT-ND1
1,ENSG00000198763,MT-ND2
2,ENSG00000198804,MT-CO1
3,ENSG00000198712,MT-CO2
4,ENSG00000228253,MT-ATP8
5,ENSG00000198899,MT-ATP6
6,ENSG00000198938,MT-CO3
7,ENSG00000198840,MT-ND3
8,ENSG00000212907,MT-ND4L
9,ENSG00000198886,MT-ND4
10,ENSG00000198786,MT-ND5
11,ENSG00000198695,MT-ND6
12,ENSG00000198727,MT-CYB
13,ENSG00000271254,
14,ENSG00000280663,PCMTD2
15,ENSG00000262826,INTS3
16,ENSG00000278704,
17,ENSG00000273947,KIR2DL3
18,ENSG00000276779,KIR2DL4
19,ENSG00000273735,KIR3DL2
20,ENSG00000275717,KIR3DL1
21,ENSG00000276379,KIR3DL1
22,ENSG00000276433,KIR3DL3
23,ENSG00000274692,KIR2DL1
24,ENSG00000277484,KIR2DL3
25,ENSG00000275062,KIR3DL3
26,ENSG00000277554,KIR2DL3
27,ENSG00000277272,KIR3DL1
28,ENSG00000277044,OPRL1
29,ENSG00000278074,KIR2DL4
30,ENSG00000277339,NPBWR2
31,ENSG00000274807,KIR2DS4
32,ENSG00000274714,KIR2DS4
33,ENSG00000276876,MYT1
34,ENSG00000277334,NCR1
35,ENSG00000276885,KIR2DS4
36,ENSG00000273575,KIR2DL4
37,ENSG00000275786,KIR3DL1
38,ENSG00000276518,KIR3DP1
39,ENSG00000275237,KIR2DL4
40,ENSG00000278152,KIR2DS2
41,ENSG00000277982,KIR3DL2
42,ENSG00000273510,KIR2DL1
43,ENSG00000274324,KIR2DS4
44,ENSG00000276423,KIR3DL1
45,ENSG00000276534,KIR3DS1
46,ENSG00000276820,KIR2DL1
47,ENSG00000278731,KIR2DL2
48,ENSG00000278306,KIR2DS3
49,ENSG00000277620,KIR3DL3
50,ENSG00000275732,KIR2DL4
51,ENSG00000274948,KIR3DL1
52,ENSG00000276858,FCAR
53,ENSG00000276328,KIR3DL3
54,ENSG00000274696,KIR3DL3
55,ENSG00000275407,KIR2DL2
56,ENSG00000278805,KIR2DL1
57,ENSG00000277345,KIR2DS4
58,ENSG00000275914,KIR2DL2
59,ENSG00000276424,KIR3DL2
60,ENSG00000277616,KIR2DL1
61,ENSG00000273526,KIR2DS4
62,ENSG00000278207,KIR2DL1
63,ENSG00000275433,KIR3DL3
64,ENSG00000277650,KIR2DS5
65,ENSG00000273738,FCAR
66,ENSG00000277725,KIR2DL2
67,ENSG00000273661,KIR2DL2
68,ENSG00000276044,KIR2DL4
69,ENSG00000274722,KIR3DL2
70,ENSG00000275018,
71,ENSG00000274676,KIR2DL5A
72,ENSG00000274406,KIR2DS4
73,ENSG00000276501,KIR3DL1
74,ENSG00000277355,KIR2DL4
75,ENSG00000275276,KIR2DL1
76,ENSG00000278606,KIR2DL4
77,ENSG00000274782,KIR2DL1
78,ENSG00000275848,KIR2DL4
79,ENSG00000276676,KIR2DS5
80,ENSG00000276258,KIR2DS2
81,ENSG00000281935,DNAH10
82,ENSG00000275946,KIR2DL5B
83,ENSG00000274193,KIR2DL4
84,ENSG00000275008,KIR2DL3
85,ENSG00000274189,KIR2DL4
86,ENSG00000275599,KIR2DS3
87,ENSG00000273775,KIR3DL1
88,ENSG00000274830,KIR2DL3
89,ENSG00000274283,KIR3DS1
90,ENSG00000274955,KIR2DL4
91,ENSG00000277078,KIR2DS4
92,ENSG00000276004,KIR3DL2
93,ENSG00000275659,KIR3DL1
94,ENSG00000276084,KIR3DL3
95,ENSG00000276459,KIR2DL3
96,ENSG00000276329,KIR3DL1
97,ENSG00000278248,KIR2DL1
98,ENSG00000273518,KIR3DL1
99,ENSG00000275080,KIR2DL1
100,ENSG00000277964,KIR2DL4
101,ENSG00000276985,FCAR
102,ENSG00000274518,KIR2DS2
103,ENSG00000275436,KIR2DL5B
104,ENSG00000274480,KIR3DL3
105,ENSG00000274945,KIR2DL4
106,ENSG00000275351,KIR2DS4
107,ENSG00000275035,CCDC92
108,ENSG00000277833,KIR2DL1
109,ENSG00000276357,KIR3DL2
110,ENSG00000276806,KIR3DL3
111,ENSG00000278369,KIR2DL3
112,ENSG00000261992,GATAD2B
113,ENSG00000275699,KIR2DL4
114,ENSG00000274920,KIR3DL1
115,ENSG00000273887,KIR2DL3
116,ENSG00000275452,KIR2DS2
117,ENSG00000276450,NCR1
118,ENSG00000275970,FCAR
119,ENSG00000274707,KIR2DL5B
120,ENSG00000274724,KIR3DL3
121,ENSG00000274610,KIR3DP1
122,ENSG00000263163,SLC27A3
123,ENSG00000274243,KIR2DS5
124,ENSG00000276590,KIR2DL3
125,ENSG00000275269,FCAR
126,ENSG00000278414,KIR2DL5B
127,ENSG00000275750,KIR2DL1
128,ENSG00000278327,KIR2DL3
129,ENSG00000276425,KIR2DS2
130,ENSG00000275421,KIR2DS1
131,ENSG00000275136,FCAR
132,ENSG00000278304,KIR2DS1
133,ENSG00000275172,KIR3DL3
134,ENSG00000278780,ZNF430
135,ENSG00000273517,KIR2DS1
136,ENSG00000275521,NCR1
137,ENSG00000276686,KIR2DL5A
138,ENSG00000274556,KIR3DL3
139,ENSG00000278474,KIR3DL2
140,ENSG00000277317,KIR2DL3
141,ENSG00000274402,KIR2DL3
142,ENSG00000276930,KIR3DL3
143,ENSG00000278201,KIR2DL4
144,ENSG00000278710,KIR3DL2
145,ENSG00000278091,ZNF85
146,ENSG00000275486,KIR3DL1
147,ENSG00000278442,KIR3DL2
148,ENSG00000277193,KIR2DS3
149,ENSG00000274639,KIR3DL3
150,ENSG00000276392,KIR2DL5A
151,ENSG00000273578,KIR2DL2
152,ENSG00000278079,KIR3DL1
153,ENSG00000273794,KIR2DL1
154,ENSG00000269823,
155,ENSG00000278850,KIR3DL2
156,ENSG00000276498,KIR3DS1
157,ENSG00000275288,KIR3DL1
158,ENSG00000277630,
159,ENSG00000275050,ZNF66
160,ENSG00000275262,KIR3DL2
