"Disease_ID","Disease_name","Gene_symbol","Phenotypic_series_ID","Phenotypic_series_name","Tissue","Clinical_manifestation","Pathogenesis"
"145000","Hyperparathyroidism, familial primary","CDC73","PS145000","Hyperparathyroidism","Thyroid","Yes","NA"
"617343","Hyperparathyroidism 4","GCM2","PS145000","Hyperparathyroidism","Thyroid","Yes","NA"
"275100","Hypothyroidism, congenital, nongoitrous 4","TSHB","PS275200","Hypothyroidism, congenital, nongoitrous","Thyroid","Yes","NA"
"239200","Hyperparathyroidism, neonatal","CASR","PS145000","Hyperparathyroidism","Thyroid","Yes","NA"
"145001","Parathyroid adenoma with cystic changes","CDC73","PS145000","Hyperparathyroidism","Thyroid","Yes","NA"
"145001","Hyperparathyroidism-jaw tumor syndrome","CDC73","PS145000","Hyperparathyroidism","Thyroid","Yes","NA"
"614450","Hypothyroidism, congenital, nongoitrous, 6","THRA","PS275200","Hypothyroidism, congenital, nongoitrous","Thyroid","Yes","NA"
"188470","Thyroid carcinoma, follicular, somatic","NRAS","PS188550","Thyroid cancer, nonmedullary","Thyroid","Yes","NA"
"188470","{Thyroid carcinoma, follicular}","MINPP1","PS188550","Thyroid cancer, nonmedullary","Thyroid","Yes","NA"
"188470","Thyroid carcinoma, follicular, somatic","HRAS","PS188550","Thyroid cancer, nonmedullary","Thyroid","Yes","NA"
"188470","{Thyroid cancer, nonmedullary, 2}","SRGAP1","PS188550","Thyroid cancer, nonmedullary","Thyroid","Yes","NA"
"155240","Medullary thyroid carcinoma","RET","","","Thyroid","Yes","NA"
"138800","Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors","DICER1","PS138800","Goiter, multinodular","Thyroid","Yes","NA"
"108900","Atrial septal defect 7, with or without AV conduction defects","NKX2-5","PS108800","Atrial septal defect","Thyroid","Yes","NA"
"616858","?Cowden syndrome 7","SEC23B","PS158350","Cowden disease","Thyroid","Yes","NA"
"218700","Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia","PAX8","PS275200","Hypothyroidism, congenital, nongoitrous","Thyroid","Yes","NA"
"613224","Noonan syndrome 6","NRAS","PS163950","Noonan syndrome","Thyroid","Yes","NA"
"615109","Cowden syndrome 6","AKT1","PS158350","Cowden disease","Thyroid","Yes","NA"
"615108","Cowden syndrome 5","PIK3CA","PS158350","Cowden disease","Thyroid","Yes","NA"
"615107","Cowden syndrome 4","KLLN","PS158350","Cowden disease","Thyroid","Yes","NA"
"158350","Cowden syndrome 1","PTEN","PS158350","Cowden disease","Thyroid","Yes","NA"
"158350","Lhermitte-Duclos syndrome","PTEN","PS158350","Cowden disease","Thyroid","Yes","NA"
"224100","Dyserythropoietic anemia, congenital, type II","SEC23B","PS224120","Anemia, congenital dyserythropoietic","Thyroid","Yes","NA"
"614432","Ventricular septal defect 3","NKX2-5","PS614429","Ventricular septal defect","Thyroid","Yes","NA"
"225250","Hypothyroidism, congenital nongoitrous, 5","NKX2-5","PS275200","Hypothyroidism, congenital, nongoitrous","Thyroid","Yes","NA"
"614435","Hypoplastic left heart syndrome 2","NKX2-5","PS241550","Hypoplastic left heart syndrome","Thyroid","Yes","NA"
"275200","Hypothyroidism, congenital, nongoitrous, 1","TSHR","PS275200","Hypothyroidism, congenital, nongoitrous","Thyroid","Yes","NA"
"605231","Bardet-Biedl syndrome 6","MKKS","PS209900","Bardet-Biedl syndrome","Cervix","Yes","NA"
"236700","McKusick-Kaufman syndrome","MKKS","","","Cervix","Yes","NA"
"606766","Spermatogenic failure 3","SLC26A8","PS258150","Spermatogenic failure","Testis","Yes","NA"
"606763","Ciliary dyskinesia, primary, 2","DNAAF3","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"604250","Hemochromatosis, type 3","TFR2","PS235200","Hemochromatosis","Testis","Yes","NA"
"613707","LEOPARD syndrome 3","BRAF","PS151100","LEOPARD syndrome","Testis","Yes","NA"
"613706","Noonan syndrome 7","BRAF","PS163950","Noonan syndrome","Testis","Yes","NA"
"608644","Ciliary dyskinesia, primary, 3, with or without situs inversus","DNAH5","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"617592","Spermatogenic failure 19","CFAP43","PS258150","Spermatogenic failure","Testis","Yes","NA"
