Process name,GO_id,Genes
electron transport chain,GO:0022900,;NCF1;COX4I2;AKR1A1;MT-CO1;PHGDH;ETFA;PDIA5;CYBA;GLDC;ALDH4A1;WDR93;NDOR1;NDUFB4;HSD17B6;COX5B;NDUFS4;NDUFA4L2;FDX2;COX7A1;DHRS3;NDUFB8;COX7A2L;NQO2;NDUFB3;SDHB;COX4I1;DHRS2;COX6A1;CYP19A1;MT-ND3;XDH;NCF2;CYBB;COX7C;ALDH2;GFUS;ENOX2;FDX1;COX7B;GLRX2;GPX2;AKR1B1;AOC2;NDUFS7;AKR7A3;ETFDH;ASPH;SDHA;IDH3B;LOXL2;AKR7A2;QDPR;DMGDH;COX7B2;ME2;ME1;SURF1;CYB5B;COX7A2;MAOB;POR;CYP1A2;SDHC;RDH16;AOX1;COX11;GSR;MT-CO2;CYCS;DHDH;C15orf48;SRD5A1;ETFB;HAAO;NOX4;CIAPIN1;STEAP4;CYB561;MT-ND1;AKR1C4;COX8A;IDO1;NDUFV1;CYB5A;DEGS1;NDUFS8;COX8C;COX5A;GLRX;COX6C;P4HA2;ADH5;
aerobic respiration,GO:0009060,MT-ND4;UQCRB;SDHB;ADSL;SLC25A14;MT-CO1;UCN;UQCRHL;MTFR2;FXN;UQCR10;MTFR1;PANK2;COX10;BLOC1S1;UQCRC2;ME3;CAT;SIRT3;MTFR1L;ATP5F1D;MDH2;UQCRC1;SURF1;MT-ND1;UQCRH;MT-CO3;NDUFS8;NDUFS7;SDHC;OXA1L;
mitochondrial respiratory chain complex I assembly,GO:0032981,;MT-ND4;NDUFB8;NDUFB3;NDUFA9;NDUFA8;NUBPL;NDUFAF5;NDUFAF7;NDUFA12;NDUFB5;NDUFAF4;NDUFA11;NDUFA10;NDUFA5;OXA1L;MT-ND5;NDUFA1;NDUFAF3;NDUFAF6;NDUFA3;ECSIT;NDUFC1;NDUFS1;MT-ND3;DMAC1;TIMMDC1;NDUFB9;NDUFA6;NDUFB11;ACAD9;NDUFAB1;NDUFAF2;NDUFC2;COA1;MT-ND6;NDUFB1;DMAC2;NDUFAF8;NDUFS6;MT-ND1;FOXRED1;NDUFB4;AIFM1;NDUFV3;TIMM21;NDUFB2;NDUFB6;TMEM126B;NDUFA2;BCS1L;NDUFS4;NDUFV1;NDUFAF1;NDUFA13;NDUFS8;TAZ;TMEM126A;NDUFS2;NDUFA7;NDUFS3;NDUFB7;NDUFS5;NDUFS7;NDUFV2;MT-ND2;NDUFB10;
mitochondrial electron transport_ NADH to ubiquinone,GO:0006120,;MT-ND4;NDUFB8;NDUFB3;NDUFA9;NDUFA8;NDUFA12;NDUFB5;NDUFA11;NDUFA10;NDUFA5;NDUFA1;MT-ND5;NDUFA3;NDUFC1;DLD;NDUFS1;MT-ND3;NDUFA4;NDUFB9;NDUFA6;NDUFB11;NDUFAB1;MT-ND4L;NDUFC2;MT-ND6;NDUFB1;NDUFC2-KCTD14;NDUFV2;NDUFS6;MT-ND1;NDUFB4;NDUFB6;NDUFV3;NDUFB2;NDUFA2;NDUFS4;NDUFV1;NDUFAF1;NDUFA13;NDUFS8;NDUFS2;NDUFA7;NDUFS3;NDUFB7;NDUFS5;NDUFS7;COQ9;MT-ND2;NDUFB10;
response to hydroperoxide,GO:0033194,JAK2;XRCC1;CHUK;SP1;CD38;RNF112;GPX1;MT-ND1;TRPM2;
reactive oxygen species metabolic process,GO:0072593,DRD5;BNIP3;CCN2;LRRK2;PRDX4;DUOX1;PDGFB;CCN1;BCL2;IFI6;MT-ND2;IL19;NDUFS1;PREX1;CYBA;ATP5IF1;PMAIP1;VAV1;SOD1;PAX2;NOX4;SESN1;PDK4;RFK;SH3PXD2A;MPV17L;SESN2;GLS2;NDUFS4;DDIT4;NDUFA13;SFTPD;NDUFS3;PLA2R1;CYB5R4;NNT;
oxidative phosphorylation,GO:0006119,;COX6B1;COX6B2;UQCRB;COX4I2;COX4I1;MT-CO1;COX6A1;FXN;CHCHD10;COX7B2;UQCRC2;ATP5F1C;ATP5F1D;COX7C;UQCRC1;SURF1;UQCRH;MSH2;COX6A2;COX8A;COX5B;COX7B;COX8C;COX5A;COX7A2;COX7A1;COX6C;TEFM;NIPSNAP2;
cerebellum development,GO:0021549,MT-ND4;NLGN4X;ABAT;CDK5R2;CEND1;EN1;AGTPBP1;LHX1;MT-CO1;CNTN1;HAP1;PTN;CDK5R1;TTC21B;NEUROD1;CDK5;MYO16;PSEN1;SCN5A;CD3E;PTPRS;GART;AIF1;NCSTN;SSTR3;FOXC1;PAK1;LPAR1;SEMA4C;PPARGC1A;LMX1A;SSTR1;TP53;LHX5;SSTR2;FCGR2B;PTBP2;PDSS2;CKB;PTF1A;GBX2;ATRN;ATIC;NCOA1;RPGRIP1L;SDF4;LDB1;TTBK2;KCNC1;HNRNPD;WNT1;RERE;MECP2;CPLANE1;FAIM2;
response to copper ion,GO:0046688,PRNP;SOD1;SOD3;ATP7A;ATP7B;ATP5F1D;PAM;S100A13;ICAM1;MT-CO1;LOXL2;AANAT;SORD;IL1A;CDK1;MT-CYB;
response to electrical stimulus,GO:0051602,S100A13;GHRL;MT-CO1;AKAP12;EEF1A2;BRD1;KCNJ3;AIF1;TH;NTRK1;PPARGC1A;AKAP9;OXT;BTG2;NQO1;MSTN;RAB3A;TACR2;GJB6;FZD3;EPO;NR4A1;HNRNPD;SOD2;OPA1;CD14;DISC1;SRC;CYFIP1;
