process,go,genes,id
aerobic respiration,GO:0009060,ENSG00000198888;ENSG00000198804;ENSG00000198938;ENSG00000198886;ENSG00000143252;ENSG00000142082;ENSG00000121691;ENSG00000110717;ENSG00000151376;ENSG00000135441;ENSG00000111775;ENSG00000155463;ENSG00000140740;ENSG00000156885;ENSG00000006695;ENSG00000099624;ENSG00000115286;ENSG00000163794;ENSG00000125779;ENSG00000184076;ENSG00000239900;ENSG00000010256;ENSG00000146410;ENSG00000146701;ENSG00000066855;ENSG00000156467;ENSG00000165060;ENSG00000148290;ENSG00000102078;ENSG00000117640;ENSG00000173660;ENSG00000117118;,1
mitochondrial electron transport_ NADH to ubiquinone,GO:0006120,ENSG00000198888;ENSG00000198763;ENSG00000198840;ENSG00000212907;ENSG00000198886;ENSG00000198786;ENSG00000198695;ENSG00000158864;ENSG00000166136;ENSG00000213619;ENSG00000167792;ENSG00000110717;ENSG00000151366;ENSG00000139180;ENSG00000184752;ENSG00000183648;ENSG00000137806;ENSG00000140990;ENSG00000004779;ENSG00000088682;ENSG00000178127;ENSG00000115286;ENSG00000174886;ENSG00000267855;ENSG00000099795;ENSG00000186010;ENSG00000170906;ENSG00000119013;ENSG00000023228;ENSG00000130414;ENSG00000160194;ENSG00000184983;ENSG00000065518;ENSG00000136521;ENSG00000109390;ENSG00000145494;ENSG00000164258;ENSG00000131495;ENSG00000189043;ENSG00000091140;ENSG00000128609;ENSG00000090266;ENSG00000147684;ENSG00000165264;ENSG00000119421;ENSG00000147123;ENSG00000125356;ENSG00000168653;,2
mitochondrial respiratory chain complex I assembly,GO:0032981,ENSG00000198888;ENSG00000198763;ENSG00000198840;ENSG00000198886;ENSG00000198786;ENSG00000198695;ENSG00000158864;ENSG00000166136;ENSG00000213619;ENSG00000167792;ENSG00000110717;ENSG00000151366;ENSG00000171204;ENSG00000171202;ENSG00000110074;ENSG00000139180;ENSG00000184752;ENSG00000155463;ENSG00000151413;ENSG00000183648;ENSG00000137806;ENSG00000140990;ENSG00000004779;ENSG00000224877;ENSG00000178127;ENSG00000075336;ENSG00000115286;ENSG00000174886;ENSG00000267855;ENSG00000130159;ENSG00000099795;ENSG00000186010;ENSG00000105341;ENSG00000170906;ENSG00000003509;ENSG00000119013;ENSG00000023228;ENSG00000074582;ENSG00000130414;ENSG00000101247;ENSG00000160194;ENSG00000184983;ENSG00000178057;ENSG00000113845;ENSG00000065518;ENSG00000177646;ENSG00000136521;ENSG00000109390;ENSG00000145494;ENSG00000164258;ENSG00000164182;ENSG00000131495;ENSG00000123545;ENSG00000106603;ENSG00000128609;ENSG00000090266;ENSG00000156170;ENSG00000147684;ENSG00000137038;ENSG00000165264;ENSG00000119421;ENSG00000147123;ENSG00000125356;ENSG00000102125;ENSG00000168653;,3
response to hydroperoxide,GO:0033194,ENSG00000198888;ENSG00000213341;ENSG00000185591;ENSG00000128482;ENSG00000073050;ENSG00000142185;ENSG00000233276;ENSG00000004468;ENSG00000096968;,4
reactive oxygen species metabolic process,GO:0072593,ENSG00000198763;ENSG00000142224;ENSG00000168209;ENSG00000133661;ENSG00000075891;ENSG00000107957;ENSG00000176171;ENSG00000213619;ENSG00000086991;ENSG00000188906;ENSG00000135423;ENSG00000089041;ENSG00000137857;ENSG00000051523;ENSG00000141682;ENSG00000171791;ENSG00000141968;ENSG00000186010;ENSG00000153246;ENSG00000023228;ENSG00000124126;ENSG00000142168;ENSG00000100311;ENSG00000169676;ENSG00000112992;ENSG00000164258;ENSG00000164182;ENSG00000080546;ENSG00000118523;ENSG00000004799;ENSG00000135002;ENSG00000123131;ENSG00000142871;ENSG00000126709;ENSG00000130770;ENSG00000130766;,5
oxidative phosphorylation,GO:0006119,ENSG00000198804;ENSG00000165629;ENSG00000176340;ENSG00000111775;ENSG00000187581;ENSG00000178741;ENSG00000140740;ENSG00000156885;ENSG00000131143;ENSG00000172171;ENSG00000099624;ENSG00000126267;ENSG00000161281;ENSG00000160471;ENSG00000095002;ENSG00000135940;ENSG00000131055;ENSG00000250479;ENSG00000010256;ENSG00000170516;ENSG00000127184;ENSG00000146729;ENSG00000156467;ENSG00000164919;ENSG00000165060;ENSG00000148290;ENSG00000131174;ENSG00000173660;,6
electron transport chain,GO:0022900,ENSG00000198804;ENSG00000198712;ENSG00000143252;ENSG00000116701;ENSG00000023572;ENSG00000143753;ENSG00000198610;ENSG00000108010;ENSG00000176340;ENSG00000086991;ENSG00000137714;ENSG00000025423;ENSG00000139547;ENSG00000185633;ENSG00000184752;ENSG00000198431;ENSG00000111275;ENSG00000111775;ENSG00000176153;ENSG00000187581;ENSG00000182512;ENSG00000166920;ENSG00000137869;ENSG00000140505;ENSG00000178741;ENSG00000140374;ENSG00000140527;ENSG00000005194;ENSG00000103018;ENSG00000131143;ENSG00000051523;ENSG00000131480;ENSG00000166260;ENSG00000008283;ENSG00000082212;ENSG00000166347;ENSG00000267673;ENSG00000161281;ENSG00000104808;ENSG00000105379;ENSG00000158125;ENSG00000115944;ENSG00000162882;ENSG00000135940;ENSG00000138356;ENSG00000119013;ENSG00000101365;ENSG00000131055;ENSG00000197763;ENSG00000151552;ENSG00000215203;ENSG00000170516;ENSG00000197894;ENSG00000171503;ENSG00000073578;ENSG00000145545;ENSG00000164258;ENSG00000132837;ENSG00000127184;ENSG00000173221;ENSG00000072682;ENSG00000124588;ENSG00000112695;ENSG00000065833;ENSG00000172115;ENSG00000158517;ENSG00000127948;ENSG00000127954;ENSG00000085662;ENSG00000134013;ENSG00000104687;ENSG00000131203;ENSG00000198363;ENSG00000164919;ENSG00000104522;ENSG00000178445;ENSG00000148334;ENSG00000148290;ENSG00000165168;ENSG00000069535;ENSG00000131174;ENSG00000092621;ENSG00000142669;ENSG00000117448;ENSG00000117118;ENSG00000159423;ENSG00000162482;ENSG00000053371;ENSG00000162496;,7
cerebellum development,GO:0021549,ENSG00000198804;ENSG00000198886;ENSG00000162736;ENSG00000072694;ENSG00000162761;ENSG00000168267;ENSG00000198728;ENSG00000184524;ENSG00000129159;ENSG00000149269;ENSG00000198851;ENSG00000018236;ENSG00000125084;ENSG00000135472;ENSG00000089116;ENSG00000041515;ENSG00000139874;ENSG00000080815;ENSG00000166165;ENSG00000128881;ENSG00000183044;ENSG00000103494;ENSG00000141510;ENSG00000176749;ENSG00000173805;ENSG00000180616;ENSG00000105426;ENSG00000084676;ENSG00000168758;ENSG00000163064;ENSG00000123607;ENSG00000162992;ENSG00000138363;ENSG00000171450;ENSG00000168505;ENSG00000088812;ENSG00000159131;ENSG00000183873;ENSG00000109819;ENSG00000138668;ENSG00000197603;ENSG00000054598;ENSG00000204472;ENSG00000128573;ENSG00000105894;ENSG00000164885;ENSG00000164900;ENSG00000135049;ENSG00000198121;ENSG00000146938;ENSG00000169057;ENSG00000117569;ENSG00000078808;ENSG00000142599;,8
response to copper ion,GO:0046688,ENSG00000198804;ENSG00000198727;ENSG00000189171;ENSG00000170312;ENSG00000123191;ENSG00000140263;ENSG00000129673;ENSG00000099624;ENSG00000090339;ENSG00000115008;ENSG00000171867;ENSG00000142168;ENSG00000109610;ENSG00000145730;ENSG00000134013;ENSG00000165240;,9
response to electrical stimulus,GO:0051602,ENSG00000198804;ENSG00000189171;ENSG00000198400;ENSG00000159388;ENSG00000162946;ENSG00000075073;ENSG00000180176;ENSG00000123358;ENSG00000089041;ENSG00000121742;ENSG00000181019;ENSG00000105649;ENSG00000115353;ENSG00000162989;ENSG00000138379;ENSG00000101405;ENSG00000197122;ENSG00000101210;ENSG00000100425;ENSG00000157017;ENSG00000198836;ENSG00000109819;ENSG00000138668;ENSG00000170458;ENSG00000204472;ENSG00000131016;ENSG00000112096;ENSG00000127914;ENSG00000130427;ENSG00000104290;,10
