electron transport chain,GO:0022900
aerobic respiration,GO:0009060
mitochondrial respiratory chain complex I assembly,GO:0032981
mitochondrial electron transport_ NADH to ubiquinone,GO:0006120
response to hydroperoxide,GO:0033194
reactive oxygen species metabolic process,GO:0072593
oxidative phosphorylation,GO:0006119
cerebellum development,GO:0021549
response to copper ion,GO:0046688
response to electrical stimulus,GO:0051602
mitochondrial electron transport_ cytochrome c to oxygen,GO:0006123
electron transport coupled proton transport,GO:0015990
respiratory electron transport chain,GO:0022904
lactation,GO:0007595
response to cold,GO:0009409
positive regulation of hydrogen peroxide biosynthetic process,GO:0010729
positive regulation of necrotic cell death,GO:0010940
positive regulation of ATP biosynthetic process,GO:2001171
ATP synthesis coupled electron transport,GO:0042773
ATP synthesis coupled proton transport,GO:0015986
ATP biosynthetic process,GO:0006754
cristae formation,GO:0042407
mitochondrial ATP synthesis coupled proton transport,GO:0042776
response to hyperoxia,GO:0055093
respiratory chain complex IV assembly,GO:0008535
response to light intensity,GO:0009642
response to hormone,GO:0009725
cellular response to glucocorticoid stimulus,GO:0071385
response to nicotine,GO:0035094
response to organonitrogen compound,GO:0010243
response to hydrogen peroxide,GO:0042542
response to cocaine,GO:0042220
mitochondrial electron transport_ ubiquinol to cytochrome c,GO:0006122
response to nutrient,GO:0007584
response to heat,GO:0009408
response to toxic substance,GO:0009636
animal organ regeneration,GO:0031100
response to cobalamin,GO:0033590
response to glucagon,GO:0033762
hyperosmotic salinity response,GO:0042538
response to cadmium ion,GO:0046686
response to mercury ion,GO:0046689
response to calcium ion,GO:0051592
response to ionizing radiation,GO:0010212
snRNA transcription by RNA polymerase II,GO:0042795
mitotic G2/M transition checkpoint,GO:0044818
snRNA processing,GO:0016180
negative regulation of natural killer cell mediated cytotoxicity,GO:0045953
cellular defense response,GO:0006968
positive regulation of natural killer cell cytokine production,GO:0002729
positive regulation of cellular senescence,GO:2000774
protein methylation,GO:0006479
positive regulation of neutrophil apoptotic process,GO:0033031
cellular response to granulocyte macrophage colony-stimulating factor stimulus,GO:0097011
cellular response to interferon-alpha,GO:0035457
neutrophil mediated immunity,GO:0002446
Fc receptor signaling pathway,GO:0038093
neutrophil activation,GO:0042119
cellular response to interferon-gamma,GO:0071346
cellular response to interleukin-6,GO:0071354
opioid receptor signaling pathway,GO:0038003
ATP-dependent chromatin remodeling,GO:0043044
intermediate filament organization,GO:0045109
natural killer cell mediated cytotoxicity,GO:0042267
long-chain fatty acid metabolic process,GO:0001676
fatty acid transport,GO:0015908
long-chain fatty acid transport,GO:0015909
microtubule-based movement,GO:0007018
negative regulation of neuron death,GO:1901215
natural killer cell inhibitory signaling pathway,GO:0002769
morphogenesis of an epithelium,GO:0002009
cornea development in camera-type eye,GO:0061303
natural killer cell activation,GO:0030101
glycosaminoglycan biosynthetic process,GO:0006024
cellular amino acid biosynthetic process,GO:0008652
methionine biosynthetic process,GO:0009086
positive regulation of smoothened signaling pathway,GO:0045880
negative regulation of hippo signaling,GO:0035331
maintenance of cell polarity,GO:0030011
positive regulation of synapse assembly,GO:0051965
negative regulation of T cell proliferation,GO:0042130
positive regulation of dendritic spine development,GO:0060999
epithelial to mesenchymal transition,GO:0001837
positive regulation of hippo signaling,GO:0035332
protein peptidyl-prolyl isomerization,GO:0000413
spermatid development,GO:0007286
RNA phosphodiester bond hydrolysis_ endonucleolytic,GO:0090502
gene silencing by RNA,GO:0031047
negative regulation of transposition,GO:0010529
piRNA metabolic process,GO:0034587
spermatogenesis_ exchange of chromosomal proteins,GO:0035093
thyroid hormone generation,GO:0006590
cellular oxidant detoxification,GO:0098869
hormone biosynthetic process,GO:0042446
hydrogen peroxide catabolic process,GO:0042744
proline catabolic process,GO:0006562
cellular metabolic process,GO:0044237
tetrahydrofolate interconversion,GO:0035999
histidine metabolic process,GO:0006547
histidine catabolic process to glutamate and formamide,GO:0019556
histidine catabolic process to glutamate and formate,GO:0019557
negative regulation of cell differentiation,GO:0045596
regulation of inflammatory response,GO:0050727
macrophage activation involved in immune response,GO:0002281
osteoclast differentiation,GO:0030316
cellular response to leukemia inhibitory factor,GO:1990830
pituitary gland development,GO:0021983
dephosphorylation of RNA polymerase II C-terminal domain,GO:0070940
ribosomal small subunit biogenesis,GO:0042274
SRP-dependent cotranslational protein targeting to membrane,GO:0006614
cytoplasmic translation,GO:0002181
erythrocyte homeostasis,GO:0034101
negative regulation of translation,GO:0017148
P-body assembly,GO:0033962
mitotic spindle assembly,GO:0090307
stress granule assembly,GO:0034063
chondroitin sulfate metabolic process,GO:0030204
dermatan sulfate metabolic process,GO:0030205
dermatan sulfate biosynthetic process,GO:0030208
negative regulation of cytoplasmic translation,GO:2000766
cellular response to amino acid stimulus,GO:0071230
positive regulation of mRNA polyadenylation,GO:1900365
regulation of cell growth,GO:0001558
signaling,GO:0023052
neuron-neuron synaptic transmission,GO:0007270
positive regulation of cytokinesis,GO:0032467
regulation of actin filament polymerization,GO:0030833
DNA demethylation,GO:0080111
negative regulation of viral genome replication,GO:0045071
cytidine deamination,GO:0009972
cytidine to uridine editing,GO:0016554
negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,GO:0045869
DNA cytosine deamination,GO:0070383
cellular response to xenobiotic stimulus,GO:0071466
clathrin-dependent endocytosis,GO:0072583
protein localization to juxtaparanode region of axon,GO:0071205
neuron projection morphogenesis,GO:0048812
cerebral cortex development,GO:0021987
transmission of nerve impulse,GO:0019226
learning,GO:0007612
social behavior,GO:0035176
adult behavior,GO:0030534
vocalization behavior,GO:0071625
clustering of voltage-gated potassium channels,GO:0045163
striatum development,GO:0021756
vocal learning,GO:0042297
neuron recognition,GO:0008038
thalamus development,GO:0021794
positive regulation of gap junction assembly,GO:1903598
inactivation of MAPK activity,GO:0000188
peptidyl-threonine dephosphorylation,GO:0035970
bile acid and bile salt transport,GO:0015721
chromosome segregation,GO:0007059
regulation of microtubule polymerization or depolymerization,GO:0031110
gluconeogenesis,GO:0006094
regulation of insulin secretion,GO:0050796
glucose 6-phosphate metabolic process,GO:0051156
spliceosomal snRNP assembly,GO:0000387
spliceosomal complex assembly,GO:0000245
DNA-templated transcription_ termination,GO:0006353
import into nucleus,GO:0051170
response to muscle activity,GO:0014850
negative regulation of inflammatory response,GO:0050728
positive regulation of brown fat cell differentiation,GO:0090336
fat cell differentiation,GO:0045444
energy homeostasis,GO:0097009
brown fat cell differentiation,GO:0050873
microtubule nucleation,GO:0007020
tubulin complex assembly,GO:0007021
post-chaperonin tubulin folding pathway,GO:0007023
nucleotide-excision repair,GO:0006289
transcription elongation from RNA polymerase II promoter,GO:0006368
7-methylguanosine mRNA capping,GO:0006370
transcription initiation from RNA polymerase I promoter,GO:0006361
termination of RNA polymerase I transcription,GO:0006363
transcription-coupled nucleotide-excision repair,GO:0006283
G protein-coupled receptor internalization,GO:0002031
nucleotide-excision repair_ preincision complex stabilization,GO:0006293
nucleotide-excision repair_ DNA incision_ 3'-to lesion,GO:0006295
nucleotide-excision repair_ DNA incision_ 5'-to lesion,GO:0006296
nucleotide-excision repair_ DNA incision,GO:0033683
global genome nucleotide-excision repair,GO:0070911
nucleotide-excision repair_ DNA duplex unwinding,GO:0000717
nucleotide-excision repair_ preincision complex assembly,GO:0006294
response to UV,GO:0009411
positive regulation of DNA helicase activity,GO:1905776
'de novo' IMP biosynthetic process,GO:0006189
biosynthetic process,GO:0009058
purine nucleotide biosynthetic process,GO:0006164
purine nucleobase biosynthetic process,GO:0009113
purine ribonucleoside monophosphate biosynthetic process,GO:0009168
unsaturated fatty acid biosynthetic process,GO:0006636
fatty acid beta-oxidation using acyl-CoA oxidase,GO:0033540
retrograde vesicle-mediated transport_ Golgi to endoplasmic reticulum,GO:0006890
interferon-gamma-mediated signaling pathway,GO:0060333
regulation of interferon-gamma-mediated signaling pathway,GO:0060334
ribosome biogenesis,GO:0042254
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA_ 5.8S rRNA_ LSU-rRNA),GO:0000462
maturation of SSU-rRNA,GO:0030490
calcium import into the mitochondrion,GO:0036444
mitochondrial calcium ion homeostasis,GO:0051560
mitochondrial calcium ion transmembrane transport,GO:0006851
retinol metabolic process,GO:0042572
organic acid metabolic process,GO:0006082
xenobiotic metabolic process,GO:0006805
exogenous drug catabolic process,GO:0042738
arachidonic acid metabolic process,GO:0019369
estrogen metabolic process,GO:0008210
drug metabolic process,GO:0017144
long-chain fatty acid biosynthetic process,GO:0042759
monoterpenoid metabolic process,GO:0016098
drug catabolic process,GO:0042737
heterocycle metabolic process,GO:0046483
oxidative demethylation,GO:0070989
alkaloid catabolic process,GO:0009822
coumarin metabolic process,GO:0009804
isoquinoline alkaloid metabolic process,GO:0033076
negative regulation of Wnt signaling pathway,GO:0030178
positive regulation of protein localization to plasma membrane,GO:1903078
positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0032436
Golgi vesicle fusion to target membrane,GO:0048210
positive regulation of protein processing,GO:0010954
cell-matrix adhesion,GO:0007160
regulation of cytokinesis,GO:0032465
endocytic recycling,GO:0032456
negative regulation of adiponectin secretion,GO:0070164
late endosome to vacuole transport via multivesicular body sorting pathway,GO:0032511
negative regulation of catalytic activity,GO:0043086
mRNA catabolic process,GO:0006402
regulation of angiogenesis,GO:0045765
viral entry into host cell,GO:0046718
defense response to Gram-negative bacterium,GO:0050829
T cell costimulation,GO:0031295
positive regulation of peptidyl-tyrosine phosphorylation,GO:0050731
positive regulation of cytokine production involved in immune response,GO:0002720
negative regulation of alpha-beta T cell proliferation,GO:0046642
positive regulation of T cell migration,GO:2000406
cell volume homeostasis,GO:0006884
chloride transmembrane transport,GO:1902476
hepatocyte growth factor receptor signaling pathway,GO:0048012
protein destabilization,GO:0031648
amyloid fibril formation,GO:1990000
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043154
adenylate cyclase-inhibiting dopamine receptor signaling pathway,GO:0007195
negative regulation of voltage-gated calcium channel activity,GO:1901386
negative regulation of protein secretion,GO:0050709
synaptic transmission_ dopaminergic,GO:0001963
G protein-coupled serotonin receptor signaling pathway,GO:0098664
regulation of circadian rhythm,GO:0042752
dopamine receptor signaling pathway,GO:0007212
G protein-coupled receptor signaling pathway_ coupled to cyclic nucleotide second messenger,GO:0007187
positive regulation of kinase activity,GO:0033674
arachidonic acid secretion,GO:0050482
response to amphetamine,GO:0001975
response to histamine,GO:0034776
dopamine metabolic process,GO:0042417
behavioral response to cocaine,GO:0048148
behavioral response to ethanol,GO:0048149
positive regulation of dopamine uptake involved in synaptic transmission,GO:0051586
behavioral fear response,GO:0001662
adult locomotory behavior,GO:0008344
positive regulation of sodium:proton antiporter activity,GO:0032417
regulation of dopamine metabolic process,GO:0042053
fear response,GO:0042596
inhibitory postsynaptic potential,GO:0060080
protein processing,GO:0016485
positive regulation of interferon-alpha production,GO:0032727
TRIF-dependent toll-like receptor signaling pathway,GO:0035666
positive regulation of interferon-beta production,GO:0032728
positive regulation of type I interferon production,GO:0032481
type I interferon signaling pathway,GO:0060337
regulation of type I interferon production,GO:0032479
regulation of adaptive immune response,GO:0002819
MDA-5 signaling pathway,GO:0039530
negative regulation of macrophage apoptotic process,GO:2000110
positive regulation of autophagy,GO:0010508
regulation of protein localization,GO:0032880
regulation of viral entry into host cell,GO:0046596
Arp2/3 complex-mediated actin nucleation,GO:0034314
retrograde transport_ endosome to Golgi,GO:0042147
protein K63-linked ubiquitination,GO:0070534
negative regulation of tumor necrosis factor production,GO:0032720
positive regulation of interferon-gamma production,GO:0032729
negative regulation of protein kinase activity,GO:0006469
negative regulation of viral transcription,GO:0032897
negative regulation of calcium ion import,GO:0090281
negative regulation by symbiont of host apoptotic process,GO:0033668
negative regulation of adaptive immune response,GO:0002820
negative regulation of interleukin-2 production,GO:0032703
negative regulation of gene expression_ epigenetic,GO:0045814
O-glycan processing,GO:0016266
modulation of chemical synaptic transmission,GO:0050804
negative regulation of interferon-alpha production,GO:0032687
negative regulation of toll-like receptor 9 signaling pathway,GO:0034164
negative regulation of GTPase activity,GO:0034260
positive regulation of protein targeting to membrane,GO:0090314
positive regulation of actin cytoskeleton reorganization,GO:2000251
ephrin receptor signaling pathway,GO:0048013
positive regulation of JNK cascade,GO:0046330
positive regulation of MAP kinase activity,GO:0043406
Ras protein signal transduction,GO:0007265
positive regulation of phospholipase C activity,GO:0010863
positive regulation of epithelial cell proliferation,GO:0050679
cellular response to gamma radiation,GO:0071480
positive regulation of wound healing,GO:0090303
cellular senescence,GO:0090398
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane,GO:0098696
positive regulation of ruffle assembly,GO:1900029
positive regulation of miRNA metabolic process,GO:2000630
negative regulation of gluconeogenesis,GO:0045721
regulation of RNA splicing,GO:0043484
coenzyme A biosynthetic process,GO:0015937
peroxisome proliferator activated receptor signaling pathway,GO:0035357
regulation of microtubule cytoskeleton organization,GO:0070507
cell morphogenesis,GO:0000902
dendrite development,GO:0016358
negative regulation of lymphocyte proliferation,GO:0050672
glycolytic process,GO:0006096
canonical glycolysis,GO:0061621
phospholipid metabolic process,GO:0006644
phospholipid biosynthetic process,GO:0008654
phosphatidylinositol biosynthetic process,GO:0006661
phosphatidylinositol acyl-chain remodeling,GO:0036149
phosphatidylcholine acyl-chain remodeling,GO:0036151
layer formation in cerebral cortex,GO:0021819
lipid modification,GO:0030258
regulation of triglyceride metabolic process,GO:0090207
DNA damage response_ signal transduction by p53 class mediator resulting in cell cycle arrest,GO:0006977
nuclear-transcribed mRNA poly(A) tail shortening,GO:0000289
regulation of stem cell population maintenance,GO:2000036
positive regulation of cold-induced thermogenesis,GO:0120162
positive regulation of interleukin-6 production,GO:0032755
positive regulation of regulatory T cell differentiation,GO:0045591
learning or memory,GO:0007611
negative regulation of protein metabolic process,GO:0051248
positive regulation of T cell proliferation,GO:0042102
regulation of dendritic cell differentiation,GO:2001198
Fc receptor mediated inhibitory signaling pathway,GO:0002774
heterotypic cell-cell adhesion,GO:0034113
positive regulation of T cell tolerance induction,GO:0002666
immune response-inhibiting cell surface receptor signaling pathway,GO:0002767
positive regulation of protein dephosphorylation,GO:0035307
negative regulation of calcium ion transport,GO:0051926
regulation of long-term synaptic potentiation,GO:1900271
positive regulation of long-term synaptic depression,GO:1900454
phosphatidylinositol-mediated signaling,GO:0048015
inositol phosphate metabolic process,GO:0043647
post-Golgi vesicle-mediated transport,GO:0006892
cell communication,GO:0007154
regulation of growth,GO:0040008
regulation of cell division,GO:0051302
regulation of cell adhesion,GO:0030155
regulation of blood pressure,GO:0008217
regulation of neurogenesis,GO:0050767
cell fate determination,GO:0001709
somitogenesis,GO:0001756
heart looping,GO:0001947
marginal zone B cell differentiation,GO:0002315
type B pancreatic cell development,GO:0003323
determination of left/right symmetry,GO:0007368
proximal/distal pattern formation,GO:0009954
astrocyte development,GO:0014002
regulation of somitogenesis,GO:0014807
spinal cord development,GO:0021510
hemopoiesis,GO:0030097
negative regulation of epithelial cell differentiation,GO:0030857
negative regulation of interleukin-10 production,GO:0032693
negative regulation of glial cell apoptotic process,GO:0034351
organ growth,GO:0035265
negative regulation of epidermal cell differentiation,GO:0045605
negative regulation of myoblast differentiation,GO:0045662
negative regulation of neuron differentiation,GO:0045665
negative regulation of Notch signaling pathway,GO:0045746
positive regulation of Notch signaling pathway,GO:0045747
positive regulation of endocytosis,GO:0045807
lateral inhibition,GO:0046331
skeletal muscle tissue growth,GO:0048630
positive regulation of skeletal muscle tissue growth,GO:0048633
neuron fate specification,GO:0048665
retina development in camera-type eye,GO:0060041
retina morphogenesis in camera-type eye,GO:0060042
nephron development,GO:0072006
neuronal stem cell population maintenance,GO:0097150
skin epidermis development,GO:0098773
regulation of vascular endothelial growth factor signaling pathway,GO:1900746
positive regulation of sprouting angiogenesis,GO:1903672
retinal metabolic process,GO:0042574
tRNA splicing_ via endonucleolytic cleavage and ligation,GO:0006388
tRNA-type intron splice site recognition and cleavage,GO:0000379
RNA phosphodiester bond hydrolysis,GO:0090501
sphingolipid metabolic process,GO:0006665
cartilage development,GO:0051216
smoothened signaling pathway,GO:0007224
positive regulation of BMP signaling pathway,GO:0030513
positive regulation of smooth muscle cell proliferation,GO:0048661
central nervous system myelination,GO:0022010
regulation of cell differentiation,GO:0045595
positive regulation of tyrosine phosphorylation of STAT protein,GO:0042531
regulation of myelination,GO:0031641
neural tube development,GO:0021915
oligodendrocyte development,GO:0014003
telencephalon development,GO:0021537
negative regulation of stem cell differentiation,GO:2000737
camera-type eye development,GO:0043010
positive regulation of receptor signaling pathway via JAK-STAT,GO:0046427
cell maturation,GO:0048469
astrocyte differentiation,GO:0048708
negative regulation of oligodendrocyte differentiation,GO:0048715
negative regulation of pro-B cell differentiation,GO:2000974
glial cell fate commitment,GO:0021781
negative regulation of astrocyte differentiation,GO:0048712
cytolysis,GO:0019835
immune response-activating cell surface receptor signaling pathway,GO:0002429
response to retinoic acid,GO:0032526
gamma-delta T cell activation,GO:0046629
negative regulation of defense response to virus by host,GO:0050689
regulation of synaptic plasticity,GO:0048167
regulation of appetite,GO:0032098
diet induced thermogenesis,GO:0002024
cellular water homeostasis,GO:0009992
hippocampus development,GO:0021766
pancreatic juice secretion,GO:0030157
response to nutrient levels,GO:0031667
positive regulation of lipid catabolic process,GO:0050996
phosphatidylserine biosynthetic process,GO:0006659
organic acid transmembrane transport,GO:1903825
lactate transmembrane transport,GO:0035873
NAD biosynthesis via nicotinamide riboside salvage pathway,GO:0034356
protein insertion into mitochondrial inner membrane,GO:0045039
protein transmembrane transport,GO:0071806
protein targeting to mitochondrion,GO:0006626
calcium activated phospholipid scrambling,GO:0061588
chloride transport,GO:0006821
negative regulation of interleukin-12 production,GO:0032695
negative regulation of interleukin-13 production,GO:0032696
positive regulation of interleukin-1 beta production,GO:0032731
positive regulation of interleukin-10 production,GO:0032733
positive regulation of tumor necrosis factor production,GO:0032760
positive regulation of inflammatory response,GO:0050729
positive regulation of cell activation,GO:0050867
positive regulation of calcium ion transport,GO:0051928
positive regulation of protein tyrosine kinase activity,GO:0061098
negative regulation of cell adhesion,GO:0007162
cellular glucuronidation,GO:0052695
positive regulation of translational fidelity,GO:0045903
regulation of cytokine production,GO:0001817
cellular response to interleukin-1,GO:0071347
negative regulation of interleukin-1 beta production,GO:0032691
negative regulation of cytokine production involved in inflammatory response,GO:1900016
negative regulation of protein processing,GO:0010955
collagen-activated signaling pathway,GO:0038065
regulation of natural killer cell mediated cytotoxicity,GO:0042269
regulation of alternative mRNA splicing_ via spliceosome,GO:0000381
dosage compensation by inactivation of X chromosome,GO:0009048
posttranscriptional regulation of gene expression,GO:0010608
mRNA splice site selection,GO:0006376
regulation of mRNA splicing_ via spliceosome,GO:0048024
apoptotic signaling pathway,GO:0097190
spliceosomal tri-snRNP complex assembly,GO:0000244
negative regulation of NF-kappaB transcription factor activity,GO:0032088
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043280
positive chemotaxis,GO:0050918
monocyte chemotaxis,GO:0002548
cellular response to phorbol 13-acetate 12-myristate,GO:1904628
antimicrobial humoral immune response mediated by antimicrobial peptide,GO:0061844
cell chemotaxis,GO:0060326
antimicrobial humoral response,GO:0019730
killing of cells of other organism,GO:0031640
killing by host of symbiont cells,GO:0051873
antifungal innate immune response,GO:0061760
negative regulation of toll-like receptor 4 signaling pathway,GO:0034144
positive regulation of interleukin-8 production,GO:0032757
positive regulation of granulocyte macrophage colony-stimulating factor production,GO:0032725
negative regulation of lipopolysaccharide-mediated signaling pathway,GO:0031665
neutrophil activation involved in immune response,GO:0002283
positive regulation of granulocyte colony-stimulating factor production,GO:0071657
mismatch repair,GO:0006298
sarcomere organization,GO:0045214
antigen processing and presentation of exogenous peptide antigen via MHC class I_ TAP-dependent,GO:0002479
negative regulation of angiogenesis,GO:0016525
antigen processing and presentation of peptide antigen via MHC class I,GO:0002474
positive regulation of interleukin-12 production,GO:0032735
negative regulation of protein kinase B signaling,GO:0051898
positive regulation of macrophage cytokine production,GO:0060907
positive regulation of endothelial cell apoptotic process,GO:2000353
antigen processing and presentation of exogenous peptide antigen via MHC class I_ TAP-independent,GO:0002480
protection from natural killer cell mediated cytotoxicity,GO:0042270
negative regulation of immune response,GO:0050777
negative regulation of T cell mediated cytotoxicity,GO:0001915
antigen processing and presentation of endogenous peptide antigen via MHC class Ib,GO:0002476
protein homotrimerization,GO:0070207
negative regulation of G0 to G1 transition,GO:0070317
negative regulation of dendritic cell differentiation,GO:2001199
mitochondrion organization,GO:0007005
positive regulation of helicase activity,GO:0051096
mitochondrial DNA replication,GO:0006264
DNA unwinding involved in DNA replication,GO:0006268
regulation of cellular response to heat,GO:1900034
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,GO:2001240
cellular response to heat,GO:0034605
negative regulation of cell death,GO:0060548
regulation of mitotic spindle assembly,GO:1901673
protein refolding,GO:0042026
negative regulation of inclusion body assembly,GO:0090084
chaperone cofactor-dependent protein refolding,GO:0051085
positive regulation of erythrocyte differentiation,GO:0045648
ATP metabolic process,GO:0046034
regulation of protein ubiquitination,GO:0031396
negative regulation of protein ubiquitination,GO:0031397
cellular response to unfolded protein,GO:0034620
cellular heat acclimation,GO:0070370
positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0070434
positive regulation of microtubule nucleation,GO:0090063
positive regulation of tumor necrosis factor-mediated signaling pathway,GO:1903265
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,GO:0007193
regulation of postsynaptic membrane potential,GO:0060078
gamma-aminobutyric acid signaling pathway,GO:0007214
positive regulation of potassium ion transmembrane transport,GO:1901381
neuron-glial cell signaling,GO:0150099
nucleosome disassembly,GO:0006337
RNA polymerase I preinitiation complex assembly,GO:0001188
positive regulation of transcription of nucleolar large rRNA by RNA polymerase I,GO:1901838
positive regulation of histone H4 acetylation,GO:0090240
positive regulation by host of viral transcription,GO:0043923
positive regulation of glucose mediated signaling pathway,GO:1902661
DNA integration,GO:0015074
negative regulation of histone H3-K9 trimethylation,GO:1900113
positive regulation of histone H3-K9 acetylation,GO:2000617
phagocytosis,GO:0006909
glycerolipid metabolic process,GO:0046486
ceramide biosynthetic process,GO:0046513
sphingosine biosynthetic process,GO:0046512
glycerophospholipid biosynthetic process,GO:0046474
antigen processing and presentation,GO:0019882
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,GO:0002504
female meiotic nuclear division,GO:0007143
regulation of meiosis I,GO:0060631
negative regulation of oocyte maturation,GO:1900194
regulation of Rho protein signal transduction,GO:0035023
myelination in peripheral nervous system,GO:0022011
positive regulation of stress fiber assembly,GO:0051496
centrosome duplication,GO:0051298
glycosphingolipid metabolic process,GO:0006687
ganglioside catabolic process,GO:0006689
oligosaccharide catabolic process,GO:0009313
positive regulation of fibroblast proliferation,GO:0048146
prostaglandin biosynthetic process,GO:0001516
positive regulation of peptidyl-serine phosphorylation,GO:0033138
interleukin-12-mediated signaling pathway,GO:0035722
positive regulation of phosphorylation,GO:0042327
positive regulation of cytokine production,GO:0001819
